equipo,edicion,pais,valor_mercado,promedio_valor_mercado,promedio_edad,cantidad_jugadores,cantidad_jugadores_extranjeros,puntos_ranking_liga,fase_inicio,fase_termino
Santos FC,2010,Brasil,89.9,1.9977777777777779,21.8,45,2,982.0,Fase 2,Fase 2
Club Atlético Independiente,2010,Argentina,44.58,0.9691304347826086,23.4,46,6,861.0,Fase 2,Campeón
Club Estudiantes de La Plata,2010,Argentina,49.1,1.1690476190476191,24.2,42,5,861.0,Fase 2,Fase 2
Asociación Atlética Argentinos Juniors,2010,Argentina,26.03,0.5658695652173913,23.7,46,11,861.0,Fase 2,Fase 2
Club Atlético Newell's Old Boys,2010,Argentina,23.4,0.5571428571428572,23.6,42,6,861.0,Fase 2,Cuartos de Final
Club Atlético Banfield,2010,Argentina,23.98,0.5995,23.8,40,4,861.0,Fase 2,Octavos de Final
Club Cerro Porteño,2010,Paraguay,13.53,0.30066666666666664,23.5,45,6,611.0,Fase 2,Fase 2
CA Peñarol,2010,Uruguay,21.2,0.5435897435897435,24.1,39,5,522.5,Fase 2,Octavos de Final
Club Olimpia Asunción,2010,Paraguay,11.78,0.302051282051282,24.8,39,9,611.0,Fase 1,Fase 1
Deportes Tolima,2010,Colombia,1.65,0.039285714285714285,24.1,42,5,585.5,Fase 2,Cuartos de Final
LDU Quito,2010,Ecuador,21.35,0.646969696969697,27.1,33,7,662.5,Octavos de Final,Semifinales
Barcelona SC Guayaquil,2010,Ecuador,6.8,0.2833333333333333,23.5,24,4,662.5,Fase 1,Fase 2
CSD Colo Colo,2010,Chile,23.85,0.6814285714285715,23.9,35,11,585.5,Fase 1,Fase 1
Independiente Santa Fe,2010,Colombia,15.34,0.3835,23.6,40,7,585.5,Fase 1,Octavos de Final
Atletico River Plate Montevideo,2010,Uruguay,14.9,0.3170212765957447,23.4,47,10,522.5,Fase 1,Fase 1
Universidad de Chile,2010,Chile,20.08,0.5284210526315789,23.5,38,10,585.5,Fase 1,Fase 1
CS Emelec,2010,Ecuador,8.5,0.24285714285714285,24.8,35,9,662.5,Fase 2,Octavos de Final
Goiás Esporte Clube,2010,Brasil,34.6,0.5492063492063493,24.3,63,1,982.0,Fase 2,Final
Club Guaraní,2010,Paraguay,4.88,0.12842105263157894,24.1,38,13,611.0,Fase 1,Fase 2
Avaí Futebol Clube (SC),2010,Brasil,17.4,0.34117647058823525,22.5,51,0,982.0,Fase 2,Cuartos de Final
Club Deportivo Oriente Petrolero,2010,Bolivia,2.05,0.07592592592592592,25.5,27,9,359.0,Fase 1,Fase 2
Sport Huancayo,2010,Perú,2.73,0.0853125,26.6,32,9,624.5,Fase 2,Fase 2
Caracas FC,2010,Venezuela,3.78,0.105,24.9,36,5,295.5,Fase 2,Fase 2
Esporte Clube Vitória,2010,Brasil,28.65,0.44765625,23.5,64,2,982.0,Fase 2,Fase 2
Universidad César Vallejo,2010,Perú,4.7,0.14242424242424243,25.3,33,4,624.5,Fase 1,Fase 1
Universidad San Martín de Porres,2010,Perú,7.83,0.23727272727272727,24.0,33,6,624.5,Fase 1,Fase 2
Defensor Sporting Club,2010,Uruguay,14.05,0.298936170212766,23.4,47,6,522.5,Fase 1,Octavos de Final
CD Atlético Huila,2010,Colombia,2.13,0.059166666666666666,25.1,36,4,585.5,Fase 1,Fase 2
Deportivo Lara,2010,Venezuela,0.625,0.03289473684210526,25.5,19,4,295.5,Fase 1,Fase 1
Unión San Felipe,2010,Chile,6.78,0.18324324324324326,23.4,37,10,585.5,Fase 2,Octavos de Final
Club Deportivo San José Oruro,2010,Bolivia,,,24.8,26,5,359.0,Fase 2,Octavos de Final
Trujillanos FC,2010,Venezuela,0.075,0.0031249999999999997,23.5,24,4,295.5,Fase 1,Fase 1
Deportivo Quito,2010,Ecuador,9.6,0.2823529411764706,25.5,34,7,662.5,Fase 1,Fase 1
Club Universitario de Sucre,2010,Bolivia,0.625,0.01893939393939394,24.5,33,12,359.0,Fase 1,Octavos de Final
Grêmio Barueri Futebol Ltda.,2010,Brasil,18.53,0.34314814814814815,22.3,54,0,982.0,Fase 2,Fase 2
